acl 2.2.53-1
libxfont2 2.0.4-1
libxft 2.3.3-1
libxi 1.7.10-1
libxinerama 1.1.4-1
libxkbcommon 0.9.1-1
libxkbcommon-x11 0.9.1-1
libxkbfile 1.1.0-1
libxml2 2.9.9-3
libxmu 1.1.3-1
libxrandr 1.5.2-1
libxrender 0.9.10-2
libxshmfence 1.3-1
libxslt 1.1.33-1
libxss 1.2.3-1
libxt 1.2.0-1
libxtst 1.2.3-2
libxv 1.0.11-2
libxvmc 1.0.12-2
libxxf86vm 1.1.4-2
licenses 20191011-1
linux 5.3.8.1-1
linux-api-headers 5.3.1-1
linux-firmware 20191022.2b016af-1
llvm-libs 9.0.0-3
lm_sensors 3.6.0-1
lz4 1:1.9.2-1
lzo 2.10-2
m4 1.4.18-2
maim 5.5.3-1
make 4.2.1-3
man-db 2.9.0-1
man-pages 5.03-1
mesa 19.2.2-1
meson 0.52.0-1
minizip 1:1.2.11-3
mkinitcpio 27-1
mkinitcpio-busybox 1.30.1-1
mpfr 4.0.2-1
mtdev 1.1.5-2
ncurses 6.1-6
neofetch 6.1.0-1
netctl 1.20-1
nettle 3.5.1-1
ninja 1.9.0-1
npth 1.6-1
nspr 4.23-1
nss 3.47-1
ntfs-3g 2017.3.23-3
oniguruma 6.9.3-1
opencore-amr 0.1.5-2
openjpeg2 2.3.1-1
openresolv 3.9.2-1
openssh 8.1p1-1
openssl 1.1.1.d-1
openvpn 2.4.8-1
opus 1.3.1-1
orc 0.4.30-1
p11-kit 0.23.18.1-1
pacaur 4.8.6-1
pacman 5.2.1-1
pacman-mirrorlist 20191001-1
pam 1.3.1-1
pambase 20190105.1-1
pango 1:1.44.7-1
patch 2.7.6-7
pavucontrol-qt 0.14.1-1
pciutils 3.6.2-1
pcre 8.43-1
pcre2 10.33-1
pcsclite 1.8.25-1
perl 5.30.0-3
perl-error 0.17028-1
perl-mailtools 2.21-2
perl-timedate 2.30-6
pinentry 1.1.0-4
pixman 0.38.4-1
pkcs11-helper 1.25.1-1
pkgconf 1.6.3-2
polkit 0.116-3
popt 1.16-10
procps-ng 3.3.15-1
psmisc 23.2-1
pulseaudio 13.0-2
pulseaudio-alsa 2-5
python 3.7.4-2
python-appdirs 1.4.3-2
python-packaging 19.2-2
python-pyparsing 2.4.2-1
python-setuptools 1:41.2.0-1
python-six 1.12.0-1
python2 2.7.17-1
qt5-base 5.13.2-1
rdesktop 1.8.6-1
re2 20191101-1
readline 8.0.001-1
rest 0.8.1-1
rhash 1.3.8-1
riot-desktop 1.5.0-1
riot-web 1.5.0-1
rofi 1.5.4-1
rtkit 0.12-1
sdl2 2.0.10-1
sed 4.7-2
shaderc 2019.0-2
shadow 4.7-2
shared-mime-info 1.15-1
slop 7.4-4
snappy 1.1.7-1
sound-theme-freedesktop 0.8-3
speex 1.2.0-2
speexdsp 1.2.0-1
spirv-tools 2019.3-2
sqlite 3.30.1-1
startup-notification 0.12-6
sudo 1.8.29-1
sysfsutils 2.1.0-10
systemd 243.78-1
systemd-libs 243.78-1
systemd-sysvcompat 243.78-1
tar 1.32-2
tcl 8.6.9-2
tdb 1.3.18-2
termite 15-1
termite-terminfo 15-1
texinfo 6.7-1
tslib 1.21-1
ttf-hack 3.003-1
tzdata 2019c-2
unzip 6.0-13
util-linux 2.34-3
v4l-utils 1.16.7-1
vid.stab 1.1-2
vim 8.1.2102-1
vim-runtime 8.1.2102-1
vte-common 0.58.2-1
vulkan-icd-loader 1.1.126-1
wayland 1.17.0-1
wayland-protocols 1.18-1
webrtc-audio-processing 0.3.1-1
wget 1.20.3-2
which 2.21-4
wpa_supplicant 2:2.9-1
x264 3:0.157.r2980.34c06d1-1
x265 3.2.1-1
xbindkeys 1.8.6-3
xcb-proto 1.13-2
xcb-util 0.4.0-2
xcb-util-cursor 0.1.3-2
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xcb-util-xrm 1.3-1
xclip 0.13-2
xdg-utils 1.1.3+18+g0547886-2
xf86-input-libinput 0.29.0-1
xf86-video-intel 1:2.99.917+893+gbff5eca4-1
xkeyboard-config 2.28-1
xorg-bdftopcf 1.1-1
xorg-font-util 1.3.2-1
xorg-font-utils 7.6-5
xorg-fonts-encodings 1.0.5-1
xorg-mkfontscale 1.2.1-1
xorg-server 1.20.5-4
xorg-server-common 1.20.5-4
xorg-setxkbmap 1.3.2-1
xorg-xauth 1.1-1
xorg-xinit 1.4.1-1
xorg-xkbcomp 1.4.2+7+g29fda8e-1
xorg-xmodmap 1.0.10-1
xorg-xrandr 1.5.1-1
xorg-xrdb 1.2.0-1
xorg-xset 1.2.4-1
xorgproto 2019.2-1
xvidcore 1.3.5-1
xz 5.2.4-1
yajl 2.1.0-2
zita-alsa-pcmi 0.3.2-2
zita-resampler 1.6.2-2
zlib 1:1.2.11-3
zstd 1.4.3-1
